perspective,item,Blender_1,Blender_2,Coffee maker_1,Coffee maker_2,Desk lamp_1,Desk lamp_2,Kettle_1,Kettle_2,Photo Frame_1,Photo Frame_2,Radio_1,Radio_2,Sandwich maker_1,Sandwich maker_2,Sleeping bag_1,Sleeping bag_2,Table Fan_1,Table Fan_2,Toaster_1,Toaster_2,choices_1,choices_2,choices_diff,decision,forced_decision,prior,Chicken wings_1,Chicken wings_2,French fries_1,French fries_2,Fried chicken_1,Fried chicken_2,Grilled Cheeses_1,Grilled Cheeses_2,Hamburgers_1,Hamburgers_2,Mashed potatoes_1,Mashed potatoes_2,Pasta_1,Pasta_2,Pizza_1,Pizza_2,Salad_1,Salad_2,Sushi_1,Sushi_2,Apple_1,Apple_2,Banana_1,Banana_2,Cherry_1,Cherry_2,Kiwi_1,Kiwi_2,Mango_1,Mango_2,Orange_1,Orange_2,Papaya_1,Papaya_2,Pineapple_1,Pineapple_2,Strawberry_1,Strawberry_2,Watermelon_1,Watermelon_2
self,object,10.0,10.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,Coffee maker,Kettle,1,Coffee maker,Coffee maker,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,10.0,10.0,9.0,10.0,7.0,8.0,8.0,9.0,6.0,7.0,5.0,6.0,4.0,7.0,3.0,8.0,2.0,8.0,1.0,8.0,Coffee maker,Kettle,1,Coffee maker,Coffee maker,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,10.0,10.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,Coffee maker,Kettle,1,Coffee maker,Kettle,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,10.0,10.0,9.0,9.0,7.0,7.0,8.0,10.0,6.0,8.0,5.0,6.0,4.0,7.0,3.0,5.0,2.0,8.0,1.0,8.0,Coffee maker,Kettle,1,Coffee maker,Kettle,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,10.0,10.0,9.0,9.0,7.0,8.0,8.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,Desk lamp,Photo Frame,1,Desk lamp,Desk lamp,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,10.0,8.0,9.0,9.0,7.0,10.0,8.0,8.0,6.0,7.0,5.0,6.0,4.0,7.0,3.0,5.0,2.0,7.0,1.0,8.0,Desk lamp,Photo Frame,1,"Desk lamp. I prefer practicality over aesthetics, and a desk lamp would provide better lighting for work or reading.",Desk lamp,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,10.0,10.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,Desk lamp,Photo Frame,1,Desk lamp,Photo Frame,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,10.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,10.0,5.0,6.0,4.0,7.0,3.0,5.0,2.0,7.0,1.0,6.0,Desk lamp,Photo Frame,1,"Desk lamp. I prefer practicality over aesthetics, and a desk lamp would provide better lighting for work or reading.",Photo Frame,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,10.0,10.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,Kettle,Desk lamp,1,Desk lamp,Kettle,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,10.0,10.0,9.0,10.0,7.0,8.0,8.0,10.0,6.0,7.0,5.0,6.0,4.0,7.0,3.0,5.0,2.0,8.0,1.0,9.0,Kettle,Desk lamp,1,Kettle,Kettle,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
