perspective,item,Blender_1,Blender_2,Coffee maker_1,Coffee maker_2,Desk lamp_1,Desk lamp_2,Kettle_1,Kettle_2,Photo Frame_1,Photo Frame_2,Radio_1,Radio_2,Sandwich maker_1,Sandwich maker_2,Sleeping bag_1,Sleeping bag_2,Table Fan_1,Table Fan_2,Toaster_1,Toaster_2,choices_1,choices_2,choices_diff,decision,forced_decision,prior,Chicken wings_1,Chicken wings_2,French fries_1,French fries_2,Fried chicken_1,Fried chicken_2,Grilled Cheeses_1,Grilled Cheeses_2,Hamburgers_1,Hamburgers_2,Mashed potatoes_1,Mashed potatoes_2,Pasta_1,Pasta_2,Pizza_1,Pizza_2,Salad_1,Salad_2,Sushi_1,Sushi_2,Apple_1,Apple_2,Banana_1,Banana_2,Cherry_1,Cherry_2,Kiwi_1,Kiwi_2,Mango_1,Mango_2,Orange_1,Orange_2,Papaya_1,Papaya_2,Pineapple_1,Pineapple_2,Strawberry_1,Strawberry_2,Watermelon_1,Watermelon_2
self,object,7,6,8,7,6,7,7,8,5,4,6,5,6,5,4,3,7,6,7,6,Kettle,Blender,0,Kettle,Kettle,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,8,6,7,7,7,5,5,6,6,6,6,4,4,7,7,7,7,Kettle,Blender,0,Blender,Kettle,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,5,7,8,5,4,6,3,6,5,4,2,7,6,7,6,Kettle,Blender,0,Kettle,Blender,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,7,8,8,6,6,7,7,5,5,6,6,6,6,4,4,7,7,7,7,Kettle,Blender,0,Blender,Blender,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,7,7,8,5,4,6,5,6,5,4,3,7,8,7,6,Table Fan,Blender,0,Blender,Table Fan,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,7,8,8,6,6,7,7,5,4,6,5,6,6,4,3,7,8,7,7,Table Fan,Blender,0,Blender,Table Fan,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,7,8,8,6,6,7,7,5,5,6,6,6,6,4,4,7,7,7,7,Table Fan,Blender,0,Blender,Blender,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,7,8,8,6,6,7,7,5,4,6,5,6,6,4,3,7,6,7,7,Table Fan,Blender,0,Blender,Blender,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,7,7,8,5,4,6,5,6,5,4,6,7,8,7,6,Table Fan,Kettle,0,Kettle,Table Fan,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,8,6,7,7,7,5,5,6,6,6,6,4,4,7,7,7,7,Table Fan,Kettle,0,Kettle,Table Fan,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,7,7,8,5,4,6,5,6,5,4,3,7,6,7,7,Table Fan,Kettle,0,Kettle,Kettle,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,8,6,7,7,7,5,5,6,6,6,6,4,4,7,7,7,7,Table Fan,Kettle,0,Kettle,Kettle,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,5,7,6,5,4,6,5,6,5,4,3,7,6,7,8,Toaster,Blender,0,Blender,Toaster,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,8,6,7,7,7,5,5,6,6,6,6,4,4,7,7,7,8,Toaster,Blender,0,Blender,Toaster,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,8,8,7,6,6,7,7,5,4,6,5,6,5,4,3,7,6,7,6,Toaster,Blender,0,Blender,Blender,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,7,8,8,6,6,7,7,5,5,6,6,6,6,4,4,7,7,7,7,Toaster,Blender,0,Blender,Blender,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,5,7,8,5,4,6,5,6,5,4,3,7,6,7,8,Toaster,Kettle,0,Kettle,Toaster,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,8,6,7,7,7,5,5,6,6,6,6,4,4,7,7,7,7,Toaster,Kettle,0,Kettle,Toaster,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,5,7,8,5,4,6,5,6,5,4,3,7,6,7,6,Toaster,Kettle,0,Kettle,Kettle,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,8,6,7,7,9,5,5,6,6,6,7,4,4,7,8,7,7,Toaster,Kettle,0,Kettle,Kettle,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,5,7,8,5,4,6,3,6,5,4,6,7,7,7,6,Coffee maker,Sleeping bag,4,Coffee maker,Coffee maker,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,5,8,8,6,6,7,7,5,4,6,6,6,6,4,3,7,7,7,7,Coffee maker,Sleeping bag,4,Sleeping bag,Coffee maker,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,7,7,8,5,4,6,5,6,5,4,8,7,6,7,6,Coffee maker,Sleeping bag,4,Coffee maker,Sleeping bag,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,5,8,7,6,6,7,6,5,4,6,5,6,6,4,8,7,7,7,6,Coffee maker,Sleeping bag,4,Sleeping bag,Sleeping bag,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,5,7,8,5,4,6,3,6,5,4,7,7,6,7,8,Toaster,Sleeping bag,3,Toaster,Toaster,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,8,6,7,7,7,5,5,6,6,6,6,4,7,7,7,7,8,Toaster,Sleeping bag,3,Sleeping bag,Toaster,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,5,7,8,5,4,6,3,6,5,4,7,7,6,7,8,Toaster,Sleeping bag,3,Toaster,Sleeping bag,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,5,8,7,6,6,7,6,5,4,6,5,6,4,4,8,7,6,7,6,Toaster,Sleeping bag,3,Sleeping bag,Sleeping bag,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,7,7,8,5,4,6,5,6,5,4,6,7,8,7,6,Table Fan,Sleeping bag,3,Table Fan,Table Fan,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,8,6,7,7,7,5,5,6,6,6,6,4,4,7,7,7,7,Table Fan,Sleeping bag,3,Sleeping bag,Table Fan,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,7,7,8,5,4,6,5,6,5,4,8,7,6,7,6,Table Fan,Sleeping bag,3,Table Fan,Sleeping bag,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,8,6,7,7,7,5,5,6,6,6,6,4,8,7,7,7,7,Table Fan,Sleeping bag,3,Sleeping bag,Sleeping bag,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,7,7,8,5,4,6,5,6,5,4,3,7,6,7,6,Kettle,Sleeping bag,3,Kettle,Kettle,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,8,6,7,7,7,5,5,6,6,6,6,4,4,7,7,7,7,Kettle,Sleeping bag,3,Sleeping bag,Kettle,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,7,7,8,5,4,6,5,6,5,4,7,7,6,7,6,Kettle,Sleeping bag,3,Kettle,Sleeping bag,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,5,8,7,6,6,7,6,5,4,6,5,6,5,4,8,7,7,7,6,Kettle,Sleeping bag,3,Sleeping bag,Sleeping bag,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,7,6,8,7,6,5,7,8,5,3,6,4,6,5,4,3,7,6,7,6,Coffee maker,Photo Frame,3,Coffee maker,Coffee maker,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
