perspective,item,Blender_1,Blender_2,Coffee maker_1,Coffee maker_2,Desk lamp_1,Desk lamp_2,Kettle_1,Kettle_2,Photo Frame_1,Photo Frame_2,Radio_1,Radio_2,Sandwich maker_1,Sandwich maker_2,Sleeping bag_1,Sleeping bag_2,Table Fan_1,Table Fan_2,Toaster_1,Toaster_2,choices_1,choices_2,choices_diff,decision,forced_decision,prior,Chicken wings_1,Chicken wings_2,French fries_1,French fries_2,Fried chicken_1,Fried chicken_2,Grilled Cheeses_1,Grilled Cheeses_2,Hamburgers_1,Hamburgers_2,Mashed potatoes_1,Mashed potatoes_2,Pasta_1,Pasta_2,Pizza_1,Pizza_2,Salad_1,Salad_2,Sushi_1,Sushi_2,Apple_1,Apple_2,Banana_1,Banana_2,Cherry_1,Cherry_2,Kiwi_1,Kiwi_2,Mango_1,Mango_2,Orange_1,Orange_2,Papaya_1,Papaya_2,Pineapple_1,Pineapple_2,Strawberry_1,Strawberry_2,Watermelon_1,Watermelon_2
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Kettle,Blender,0,Blender,Kettle,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,6.0,8.0,8.0,6.0,5.0,5.0,4.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,Kettle,Blender,0,Blender,Kettle,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Kettle,Blender,0,Blender,Blender,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,6.0,8.0,7.0,6.0,5.0,5.0,4.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Kettle,Blender,0,Blender,Blender,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Sleeping bag,Desk lamp,0,Desk lamp,Sleeping bag,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,7.0,9.0,9.0,7.0,6.0,8.0,8.0,6.0,4.0,5.0,5.0,6.0,6.0,7.0,8.0,8.0,7.0,8.0,7.0,Sleeping bag,Desk lamp,0,Desk lamp,Sleeping bag,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Sleeping bag,Desk lamp,0,Desk lamp,Desk lamp,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Sleeping bag,Desk lamp,0,Desk lamp,Desk lamp,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Table Fan,Blender,0,Blender,Table Fan,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,9.0,8.0,8.0,Table Fan,Blender,0,Blender,Table Fan,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Table Fan,Blender,0,Blender,Blender,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,7.0,8.0,8.0,Table Fan,Blender,0,Blender,Blender,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Table Fan,Kettle,0,Kettle,Table Fan,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,Table Fan,Kettle,0,Kettle,Table Fan,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,9.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Table Fan,Kettle,0,Kettle,Kettle,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Table Fan,Kettle,0,Kettle,Kettle,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Toaster,Blender,0,Blender,Toaster,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,6.0,8.0,7.0,6.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Toaster,Blender,0,Blender,Toaster,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Toaster,Blender,0,Blender,Blender,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,6.0,8.0,7.0,6.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,Toaster,Blender,0,Blender,Blender,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Coffee maker,Radio,4,Coffee maker,Coffee maker,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,Coffee maker,Radio,4,Radio,Coffee maker,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Coffee maker,Radio,4,Coffee maker,Radio,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,7.0,9.0,9.0,7.0,6.0,8.0,8.0,6.0,4.0,5.0,7.0,6.0,5.0,7.0,6.0,8.0,8.0,8.0,7.0,Coffee maker,Radio,4,Radio,Radio,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Toaster,Radio,3,Toaster,Toaster,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,Toaster,Radio,3,Radio,Toaster,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Toaster,Radio,3,Toaster,Radio,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,5.0,5.0,7.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,Toaster,Radio,3,Radio,Radio,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Table Fan,Radio,3,Table Fan,Table Fan,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,9.0,8.0,8.0,Table Fan,Radio,3,Radio,Table Fan,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Table Fan,Radio,3,Table Fan,Radio,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,7.0,9.0,9.0,7.0,8.0,8.0,8.0,6.0,5.0,5.0,7.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Table Fan,Radio,3,Radio,Radio,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,9.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Kettle,Radio,3,Kettle,Kettle,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,10.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,Kettle,Radio,3,Radio,Kettle,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Kettle,Radio,3,Kettle,Radio,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,6.0,6.0,5.0,5.0,7.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,7.0,Kettle,Radio,3,Radio,Radio,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Coffee maker,Sandwich maker,3,Coffee maker,Coffee maker,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,Coffee maker,Sandwich maker,3,Coffee maker,Coffee maker,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,Coffee maker,Sandwich maker,3,Coffee maker,Sandwich maker,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,6.0,5.0,5.0,6.0,6.0,9.0,7.0,7.0,8.0,8.0,8.0,8.0,Coffee maker,Sandwich maker,3,Coffee maker,Sandwich maker,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Hamburgers,Chicken wings,0,Chicken wings,Hamburgers,with,8.0,9.0,7.0,8.0,9.0,9.0,6.0,7.0,8.0,9.0,7.0,8.0,8.0,8.0,9.0,9.0,5.0,6.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Hamburgers,Chicken wings,0,Chicken wings,Hamburgers,without,8.0,8.0,7.0,7.0,9.0,9.0,6.0,6.0,8.0,8.0,7.0,7.0,8.0,6.0,9.0,9.0,5.0,5.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Hamburgers,Chicken wings,0,Chicken wings,Chicken wings,with,8.0,9.0,7.0,8.0,9.0,9.0,6.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,5.0,6.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Hamburgers,Chicken wings,0,Chicken wings,Chicken wings,without,8.0,8.0,7.0,7.0,9.0,9.0,6.0,6.0,8.0,8.0,7.0,7.0,8.0,7.0,9.0,9.0,5.0,5.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Mashed potatoes,French fries,0,French fries,Mashed potatoes,with,8.0,8.0,7.0,8.0,9.0,9.0,6.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,5.0,6.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Mashed potatoes,French fries,0,French fries,Mashed potatoes,without,8.0,8.0,7.0,7.0,9.0,9.0,6.0,6.0,8.0,8.0,7.0,7.0,8.0,7.0,9.0,9.0,5.0,5.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Mashed potatoes,French fries,0,French fries,French fries,with,8.0,8.0,7.0,8.0,9.0,9.0,6.0,7.0,8.0,8.0,7.0,6.0,8.0,8.0,9.0,9.0,5.0,6.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Mashed potatoes,French fries,0,French fries,French fries,without,8.0,8.0,7.0,9.0,9.0,7.0,6.0,6.0,8.0,8.0,7.0,7.0,8.0,8.0,9.0,9.0,5.0,5.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,Chicken wings,0,Chicken wings,Pasta,with,8.0,9.0,7.0,8.0,9.0,9.0,6.0,7.0,8.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,5.0,6.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,Chicken wings,0,Chicken wings,Pasta,without,8.0,8.0,7.0,7.0,9.0,9.0,6.0,6.0,8.0,8.0,7.0,7.0,8.0,9.0,9.0,9.0,5.0,5.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,Chicken wings,0,Chicken wings,Chicken wings,with,8.0,9.0,7.0,8.0,9.0,9.0,6.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,5.0,6.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,Chicken wings,0,Chicken wings,Chicken wings,without,8.0,8.0,7.0,7.0,9.0,9.0,6.0,6.0,8.0,8.0,7.0,7.0,8.0,8.0,9.0,9.0,5.0,5.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,Hamburgers,0,Hamburgers,Pasta,with,8.0,9.0,7.0,8.0,9.0,9.0,6.0,7.0,8.0,9.0,7.0,8.0,8.0,9.0,9.0,10.0,5.0,6.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,Hamburgers,0,Pasta,Pasta,without,8.0,8.0,7.0,7.0,9.0,9.0,6.0,6.0,8.0,8.0,7.0,7.0,8.0,9.0,9.0,9.0,5.0,5.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,Hamburgers,0,Hamburgers,Hamburgers,with,8.0,9.0,7.0,8.0,9.0,9.0,6.0,7.0,8.0,9.0,7.0,8.0,8.0,8.0,9.0,9.0,5.0,6.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,Hamburgers,0,Pasta,Hamburgers,without,8.0,8.0,7.0,7.0,9.0,9.0,6.0,6.0,8.0,8.0,7.0,7.0,8.0,8.0,9.0,9.0,5.0,5.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pizza,Fried chicken,0,Pizza,Pizza,with,8.0,9.0,7.0,8.0,9.0,9.0,6.0,7.0,8.0,9.0,7.0,8.0,8.0,8.0,9.0,10.0,5.0,6.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pizza,Fried chicken,0,Pizza,Pizza,without,8.0,8.0,7.0,7.0,9.0,9.0,6.0,6.0,8.0,8.0,7.0,7.0,8.0,8.0,9.0,9.0,5.0,5.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,
