perspective,item,Blender_1,Blender_2,Coffee maker_1,Coffee maker_2,Desk lamp_1,Desk lamp_2,Kettle_1,Kettle_2,Photo Frame_1,Photo Frame_2,Radio_1,Radio_2,Sandwich maker_1,Sandwich maker_2,Sleeping bag_1,Sleeping bag_2,Table Fan_1,Table Fan_2,Toaster_1,Toaster_2,choices_1,choices_2,choices_diff,decision,forced_decision,prior,Chicken wings_1,Chicken wings_2,French fries_1,French fries_2,Fried chicken_1,Fried chicken_2,Grilled Cheeses_1,Grilled Cheeses_2,Hamburgers_1,Hamburgers_2,Mashed potatoes_1,Mashed potatoes_2,Pasta_1,Pasta_2,Pizza_1,Pizza_2,Salad_1,Salad_2,Sushi_1,Sushi_2,Apple_1,Apple_2,Banana_1,Banana_2,Cherry_1,Cherry_2,Kiwi_1,Kiwi_2,Mango_1,Mango_2,Orange_1,Orange_2,Papaya_1,Papaya_2,Pineapple_1,Pineapple_2,Strawberry_1,Strawberry_2,Watermelon_1,Watermelon_2
self,object,6,5,8,7,7,6,7,6,5,4,6,5,7,6,8,7,7,6,7,6,Kettle,Desk lamp,0,Desk lamp,Kettle,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,5,6,6,7,7,8,8,7,6,7,7,Kettle,Desk lamp,0,Desk lamp,Kettle,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,5,8,7,7,6,7,5,5,4,6,5,7,6,8,7,7,6,7,6,Kettle,Desk lamp,0,Desk lamp,Desk lamp,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,6,8,8,7,7,7,5,5,4,6,6,7,7,8,7,7,5,7,6,Kettle,Desk lamp,0,Desk lamp,Desk lamp,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,4,6,5,7,7,8,6,7,7,7,7,Sandwich maker,Desk lamp,0,Desk lamp,Sandwich maker,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,4,6,5,7,7,8,6,7,5,7,7,Sandwich maker,Desk lamp,0,Desk lamp,Sandwich maker,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,5,8,7,7,6,7,5,5,4,6,5,7,6,8,7,7,6,7,6,Sandwich maker,Desk lamp,0,Desk lamp,Desk lamp,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,4,6,5,7,6,8,7,7,5,7,6,Sandwich maker,Desk lamp,0,Desk lamp,Desk lamp,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,5,8,7,7,6,7,6,5,4,6,5,7,6,8,7,7,6,7,6,Sandwich maker,Kettle,0,Kettle,Sandwich maker,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,4,6,5,7,7,8,6,7,5,7,7,Sandwich maker,Kettle,0,Kettle,Sandwich maker,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,4,6,5,7,6,8,7,7,6,7,6,Sandwich maker,Kettle,0,Kettle,Kettle,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,4,6,5,7,6,8,7,7,5,7,6,Sandwich maker,Kettle,0,Kettle,Kettle,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,5,8,7,7,6,7,6,5,4,6,5,7,6,8,7,7,6,7,6,Sleeping bag,Coffee maker,0,Coffee maker,Sleeping bag,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,5,6,6,7,7,8,8,7,6,7,7,Sleeping bag,Coffee maker,0,Sleeping bag,Sleeping bag,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,5,8,7,7,6,7,6,5,4,6,5,7,6,8,7,7,6,7,6,Sleeping bag,Coffee maker,0,Coffee maker,Coffee maker,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,5,6,6,7,7,8,8,7,6,7,7,Sleeping bag,Coffee maker,0,Sleeping bag,Coffee maker,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,5,8,7,7,6,7,6,5,4,6,5,7,6,8,7,7,6,7,6,Table Fan,Desk lamp,0,Desk lamp,Table Fan,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,4,6,5,7,7,8,6,7,7,7,7,Table Fan,Desk lamp,0,Desk lamp,Table Fan,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,5,8,7,7,6,7,6,5,4,6,5,7,6,8,7,7,6,7,6,Table Fan,Desk lamp,0,Desk lamp,Desk lamp,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,4,6,5,7,6,8,7,7,5,7,6,Table Fan,Desk lamp,0,Desk lamp,Desk lamp,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,5,8,7,7,6,7,6,5,4,6,5,7,6,8,7,7,6,7,6,Sleeping bag,Photo Frame,3,Sleeping bag,Sleeping bag,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,5,6,6,7,7,8,8,7,6,7,7,Sleeping bag,Photo Frame,3,Sleeping bag,Sleeping bag,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,6,8,7,7,5,7,6,5,4,6,5,7,6,8,7,7,6,7,6,Sleeping bag,Photo Frame,3,Sleeping bag,Photo Frame,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,5,6,6,7,7,8,8,7,6,7,7,Sleeping bag,Photo Frame,3,Sleeping bag,Photo Frame,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,6,8,8,7,7,7,7,5,5,6,6,7,7,8,8,7,7,7,7,Coffee maker,Photo Frame,3,Coffee maker,Coffee maker,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,4,6,5,7,6,8,7,7,5,7,6,Coffee maker,Photo Frame,3,Coffee maker,Coffee maker,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,5,6,6,7,7,8,8,7,7,7,7,Coffee maker,Photo Frame,3,Coffee maker,Photo Frame,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,5,6,4,7,6,8,7,7,5,7,6,Coffee maker,Photo Frame,3,Coffee maker,Photo Frame,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,4,6,5,7,7,8,6,7,7,7,7,Toaster,Photo Frame,2,Toaster,Toaster,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,5,6,6,7,7,8,7,7,6,7,7,Toaster,Photo Frame,2,Toaster,Toaster,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,5,8,7,7,6,7,5,5,4,6,5,7,6,8,7,7,6,7,5,Toaster,Photo Frame,2,Toaster,Photo Frame,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,5,6,6,7,7,8,8,7,6,7,7,Toaster,Photo Frame,2,Toaster,Photo Frame,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,5,8,7,7,6,7,6,5,4,6,5,7,6,8,7,7,6,7,6,Table Fan,Photo Frame,2,Table Fan,Table Fan,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,4,6,5,7,7,8,6,7,7,7,7,Table Fan,Photo Frame,2,Table Fan,Table Fan,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,5,8,7,7,6,7,5,5,4,6,5,7,6,8,7,7,6,7,6,Table Fan,Photo Frame,2,Table Fan,Photo Frame,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,7,8,8,7,6,7,7,5,5,6,6,7,7,8,8,7,6,7,7,Table Fan,Photo Frame,2,Table Fan,Photo Frame,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,5,8,7,7,6,7,6,5,4,6,5,7,6,8,7,7,6,7,6,Sleeping bag,Radio,2,Sleeping bag,Sleeping bag,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,6,8,7,7,5,7,6,5,4,6,5,7,6,8,8,7,5,7,6,Sleeping bag,Radio,2,Sleeping bag,Sleeping bag,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,5,8,7,7,6,7,6,5,4,6,5,7,6,8,7,7,6,7,6,Sleeping bag,Radio,2,Sleeping bag,Radio,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,object,6,6,8,7,7,5,7,6,5,4,6,5,7,6,8,7,7,5,7,6,Sleeping bag,Radio,2,Sleeping bag,Radio,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Fried chicken,Chicken wings,0,Fried chicken,Fried chicken,with,8,7,7,8,8,9,6,6,7,7,5,5,7,7,9,9,4,4,7,8,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Fried chicken,Chicken wings,0,Fried chicken,Fried chicken,without,8,8,7,7,8,9,6,6,7,7,5,5,7,7,9,9,4,4,7,8,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Fried chicken,Chicken wings,0,Fried chicken,Chicken wings,with,8,7,7,8,8,7,6,6,7,7,5,5,7,7,9,9,4,4,7,8,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Fried chicken,Chicken wings,0,Fried chicken,Chicken wings,without,8,8,7,7,8,7,6,6,7,7,5,5,7,7,9,9,4,4,7,8,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Hamburgers,French fries,0,Hamburgers,Hamburgers,with,8,7,7,6,8,8,6,5,7,7,5,4,7,6,9,9,4,3,7,8,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Hamburgers,French fries,0,Hamburgers,Hamburgers,without,8,8,7,7,8,8,6,6,7,9,5,5,7,7,9,9,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Hamburgers,French fries,0,Hamburgers,French fries,with,8,7,7,8,8,7,6,6,7,7,5,5,7,7,9,9,4,4,7,6,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Hamburgers,French fries,0,Hamburgers,French fries,without,8,8,7,7,8,8,6,6,7,7,5,5,7,7,9,9,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,French fries,0,Pasta,Pasta,with,8,7,7,6,8,7,6,5,7,7,5,5,7,6,9,8,4,4,7,6,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,French fries,0,Pasta,Pasta,without,8,8,7,7,8,8,6,6,7,7,5,5,7,7,9,9,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,French fries,0,Pasta,French fries,with,8,7,7,8,8,7,6,6,7,7,5,5,7,6,9,9,4,4,7,8,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,French fries,0,Pasta,French fries,without,8,8,7,7,8,8,6,6,7,7,5,5,7,7,9,9,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,Hamburgers,0,Pasta,Pasta,with,8,7,7,8,8,7,6,6,7,7,5,5,7,7,9,9,4,4,7,6,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,Hamburgers,0,Pasta,Pasta,without,8,8,7,7,8,8,6,6,7,7,5,5,7,9,9,10,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,Hamburgers,0,Pasta,Hamburgers,with,8,7,7,8,8,7,6,6,7,7,5,5,7,6,9,9,4,4,7,8,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pasta,Hamburgers,0,Pasta,Hamburgers,without,8,8,7,7,8,8,6,6,7,9,5,5,7,7,9,9,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Sushi,French fries,0,Sushi,Sushi,with,8,7,7,6,8,8,6,5,7,7,5,4,7,6,9,9,4,3,7,8,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Sushi,French fries,0,Sushi,Sushi,without,8,8,7,7,8,8,6,6,7,7,5,5,7,7,9,9,4,6,7,8,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Sushi,French fries,0,Sushi,French fries,with,8,7,7,8,8,7,6,6,7,7,5,5,7,7,9,9,4,4,7,6,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Sushi,French fries,0,Sushi,French fries,without,8,8,7,7,8,8,6,6,7,7,5,5,7,7,9,9,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pizza,Salad,5,Pizza,Pizza,with,8,7,7,8,8,7,6,6,7,7,5,5,7,7,9,9,4,4,7,6,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pizza,Salad,5,Pizza,Pizza,without,8,8,7,7,8,8,6,6,7,7,5,5,7,7,9,9,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pizza,Salad,5,Pizza,Salad,with,8,8,7,7,8,8,6,6,7,7,5,5,7,7,9,9,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pizza,Salad,5,Pizza,Salad,without,8,8,7,7,8,8,6,6,7,7,5,5,7,7,9,9,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pizza,Mashed potatoes,4,Pizza,Pizza,with,8,7,7,8,8,7,6,6,7,7,5,5,7,7,9,9,4,4,7,8,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pizza,Mashed potatoes,4,Pizza,Pizza,without,8,8,7,7,8,8,6,6,7,7,5,5,7,7,9,9,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pizza,Mashed potatoes,4,Pizza,Mashed potatoes,with,8,8,7,7,8,8,6,6,7,7,5,5,7,7,9,9,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Pizza,Mashed potatoes,4,Pizza,Mashed potatoes,without,8,8,7,7,8,8,6,6,7,7,5,5,7,7,9,9,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Fried chicken,Salad,4,Fried chicken,Fried chicken,with,8,7,7,8,8,9,6,6,7,7,5,5,7,7,9,9,4,4,7,8,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Fried chicken,Salad,4,Fried chicken,Fried chicken,without,8,8,7,7,8,9,6,6,7,7,5,5,7,7,9,8,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Fried chicken,Salad,4,Fried chicken,Salad,with,8,7,7,6,8,8,6,5,7,7,5,4,7,6,9,9,4,3,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Fried chicken,Salad,4,Fried chicken,Salad,without,8,8,7,7,8,9,6,6,7,7,5,5,7,8,9,9,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Chicken wings,Salad,4,Chicken wings,Chicken wings,with,8,7,7,8,8,7,6,6,7,7,5,5,7,7,9,9,4,4,7,8,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Chicken wings,Salad,4,Chicken wings,Chicken wings,without,8,8,7,7,8,8,6,6,7,7,5,5,7,7,9,9,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Chicken wings,Salad,4,Chicken wings,Salad,with,8,7,7,8,8,8,6,6,7,7,5,5,7,7,9,9,4,6,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Chicken wings,Salad,4,Chicken wings,Salad,without,8,8,7,7,8,8,6,6,7,7,5,5,7,7,9,9,4,4,7,7,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Sushi,Salad,3,Sushi,Sushi,with,8,7,7,8,8,7,6,6,7,7,5,5,7,7,9,9,4,4,7,8,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Sushi,Salad,3,Sushi,Sushi,without,8,8,7,7,8,8,6,6,7,7,5,5,7,7,9,9,4,4,7,8,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Sushi,Salad,3,Sushi,Salad,with,8,7,7,8,8,7,6,6,7,7,5,5,7,7,9,9,4,6,7,8,,,,,,,,,,,,,,,,,,,,
self,food,,,,,,,,,,,,,,,,,,,,,Sushi,Salad,3,Sushi,Salad,without,8,8,7,7,8,8,6,6,7,7,5,5,7,7,9,9,4,4,7,6,,,,,,,,,,,,,,,,,,,,
self,fruit,,,,,,,,,,,,,,,,,,,,,Orange,Apple,0,Apple,Orange,with,,,,,,,,,,,,,,,,,,,,,8,-1,7,-1,9,-1,6,-1,10,-1,8,-1,5,-1,9,-1,10,-1,9,-1
self,fruit,,,,,,,,,,,,,,,,,,,,,Orange,Apple,0,Orange,Orange,without,,,,,,,,,,,,,,,,,,,,,8,8,7,7,9,6,6,5,10,9,8,8,5,4,9,7,10,9,9,10
self,fruit,,,,,,,,,,,,,,,,,,,,,Orange,Apple,0,Apple,Apple,with,,,,,,,,,,,,,,,,,,,,,8,7,7,6,9,8,6,5,10,9,8,7,5,4,9,8,10,9,9,8
self,fruit,,,,,,,,,,,,,,,,,,,,,Orange,Apple,0,Orange,Apple,without,,,,,,,,,,,,,,,,,,,,,8,8,7,7,9,9,6,6,10,10,8,7,5,5,9,8,10,9,9,10
self,fruit,,,,,,,,,,,,,,,,,,,,,Pineapple,Cherry,0,Cherry,Pineapple,with,,,,,,,,,,,,,,,,,,,,,8,-1,7,-1,9,-1,6,-1,10,-1,8,-1,5,-1,9,-1,10,-1,9,-1
self,fruit,,,,,,,,,,,,,,,,,,,,,Pineapple,Cherry,0,Pineapple,Pineapple,without,,,,,,,,,,,,,,,,,,,,,8,8,7,7,9,6,6,7,10,9,8,8,5,5,9,7,10,9,9,10
self,fruit,,,,,,,,,,,,,,,,,,,,,Pineapple,Cherry,0,Cherry,Cherry,with,,,,,,,,,,,,,,,,,,,,,8,7,7,6,9,8,6,7,10,9,8,8,5,5,9,8,10,9,9,9
self,fruit,,,,,,,,,,,,,,,,,,,,,Pineapple,Cherry,0,Pineapple,Cherry,without,,,,,,,,,,,,,,,,,,,,,8,7,7,6,9,8,6,7,10,9,8,7,5,5,9,8,10,9,9,10
self,fruit,,,,,,,,,,,,,,,,,,,,,Watermelon,Cherry,0,Watermelon,Watermelon,with,,,,,,,,,,,,,,,,,,,,,8,7,7,6,9,8,6,7,10,9,8,8,5,5,9,8,10,9,9,9
self,fruit,,,,,,,,,,,,,,,,,,,,,Watermelon,Cherry,0,Watermelon,Watermelon,without,,,,,,,,,,,,,,,,,,,,,8,8,7,7,9,6,6,5,10,9,8,7,5,4,9,8,10,9,9,10
self,fruit,,,,,,,,,,,,,,,,,,,,,Watermelon,Cherry,0,Watermelon,Cherry,with,,,,,,,,,,,,,,,,,,,,,8,7,7,6,9,8,6,7,10,9,8,8,5,5,9,8,10,9,9,9
self,fruit,,,,,,,,,,,,,,,,,,,,,Watermelon,Cherry,0,Watermelon,Cherry,without,,,,,,,,,,,,,,,,,,,,,8,8,7,7,9,9,6,6,10,10,8,8,5,5,9,7,10,9,9,8
self,fruit,,,,,,,,,,,,,,,,,,,,,Watermelon,Pineapple,0,Watermelon,Watermelon,with,,,,,,,,,,,,,,,,,,,,,8,7,7,6,9,8,6,5,10,9,8,7,5,4,9,8,10,9,9,10
self,fruit,,,,,,,,,,,,,,,,,,,,,Watermelon,Pineapple,0,Watermelon,Watermelon,without,,,,,,,,,,,,,,,,,,,,,8,7,7,6,9,8,6,7,10,9,8,7,5,5,9,8,10,9,9,8
self,fruit,,,,,,,,,,,,,,,,,,,,,Watermelon,Pineapple,0,Watermelon,Pineapple,with,,,,,,,,,,,,,,,,,,,,,8,7,7,6,9,8,6,7,10,9,8,8,5,5,9,8,10,9,9,8
self,fruit,,,,,,,,,,,,,,,,,,,,,Watermelon,Pineapple,0,Watermelon,Pineapple,without,,,,,,,,,,,,,,,,,,,,,8,7,7,6,9,8,6,5,10,9,8,7,5,4,9,8,10,9,9,7
self,fruit,,,,,,,,,,,,,,,,,,,,,Apple,Banana,1,Banana,Apple,with,,,,,,,,,,,,,,,,,,,,,8,7,7,6,9,8,6,7,10,9,8,8,5,5,9,8,10,9,9,9
self,fruit,,,,,,,,,,,,,,,,,,,,,Apple,Banana,1,Apple,Apple,without,,,,,,,,,,,,,,,,,,,,,8,8,7,7,9,9,6,6,10,10,8,8,5,5,9,7,10,9,9,10
self,fruit,,,,,,,,,,,,,,,,,,,,,Apple,Banana,1,Banana,Banana,with,,,,,,,,,,,,,,,,,,,,,8,7,7,8,9,9,6,6,10,10,8,8,5,5,9,9,10,10,9,9
self,fruit,,,,,,,,,,,,,,,,,,,,,Apple,Banana,1,Apple,Banana,without,,,,,,,,,,,,,,,,,,,,,8,8,7,7,9,9,6,6,10,10,8,8,5,5,9,7,10,9,9,10
self,fruit,,,,,,,,,,,,,,,,,,,,,Watermelon,Papaya,4,Watermelon,Watermelon,with,,,,,,,,,,,,,,,,,,,,,8,7,7,6,9,8,6,7,10,9,8,8,5,5,9,8,10,9,9,9
self,fruit,,,,,,,,,,,,,,,,,,,,,Watermelon,Papaya,4,Watermelon,Watermelon,without,,,,,,,,,,,,,,,,,,,,,8,8,7,7,9,9,6,6,10,10,8,8,5,5,9,7,10,9,9,10
