n,perspective,condition,flood_1,wind_1,flood_2,wind_2,decision,forced_decision,prior
0,self,worse,4,120,8,160,Evacuate,Stay,with
0,self,worse,4,120,24,160,Evacuate,Stay,without
0,self,worse,4,120,8,160,Evacuate,Evacuate,with
0,self,worse,4,120,24,160,Evacuate,Evacuate,without
1,self,worse,8,120,16,140,Evacuate,Stay,with
1,self,worse,8,120,24,160,Evacuate,Stay,without
1,self,worse,8,120,16,140,Evacuate,Evacuate,with
1,self,worse,8,120,24,160,Evacuate,Evacuate,without
2,self,worse,4,120,12,160,Evacuate,Stay,with
2,self,worse,4,120,24,160,Evacuate,Stay,without
2,self,worse,4,120,12,140,Evacuate,Evacuate,with
2,self,worse,4,120,24,140,Evacuate,Evacuate,without
3,self,worse,8,120,16,140,Stay,Stay,with
3,self,worse,8,120,24,150,Evacuate,Stay,without
3,self,worse,8,120,16,140,Stay,Evacuate,with
3,self,worse,8,120,24,160,Evacuate,Evacuate,without
4,self,worse,4,90,12,140,Evacuate,Stay,with
4,self,worse,4,90,24,140,Evacuate,Stay,without
4,self,worse,4,90,12,140,Evacuate,Evacuate,with
4,self,worse,4,90,16,140,Evacuate,Evacuate,without
5,self,worse,12,120,24,140,Evacuate,Stay,with
5,self,worse,12,120,8,140,"Evacuate

Reasoning behind the response:
Considering the uncertainty of the hurricane’s impacts, the anticipated category 3 storm, and the potential for 4 to 20 inches of flooding in Palm Bay, it is recommended to evacuate the area. The estimated maximum sustained wind speed ranging from 90 to 150 mph could pose significant risks to single-detached houses, and the potential flooding could pose a major threat to life. By evacuating, one can ensure their safety and minimize any potential property damage. Additionally, choosing a hotel farther north will likely place them further from the storm’s direct impact and will offer safer conditions compared to remaining in the region.",Stay,without
5,self,worse,12,120,24,140,Evacuate,Evacuate,with
5,self,worse,12,120,24,160,"Evacuate

Reasoning behind the response:
Considering the uncertainty of the hurricane’s impacts, the anticipated category 3 storm, and the potential for 4 to 20 inches of flooding in Palm Bay, it is recommended to evacuate the area. The estimated maximum sustained wind speed ranging from 90 to 150 mph could pose significant risks to single-detached houses, and the potential flooding could pose a major threat to life. By evacuating, one can ensure their safety and minimize any potential property damage. Additionally, choosing a hotel farther north will likely place them further from the storm’s direct impact and will offer safer conditions compared to remaining in the region.",Evacuate,without
0,self,better,4,120,2,100,Evacuate,Stay,with
0,self,better,4,120,6,100,Evacuate,Stay,without
0,self,better,4,120,2,100,Evacuate,Evacuate,with
0,self,better,4,120,6,100,Evacuate,Evacuate,without
1,self,better,4,120,2,100,Evacuate,Stay,with
1,self,better,4,120,6,100,Evacuate,Stay,without
1,self,better,4,120,2,100,Evacuate,Evacuate,with
1,self,better,4,120,8,100,Evacuate,Evacuate,without
2,self,better,4,120,7,100,Stay,Stay,with
2,self,better,4,120,6,100,Evacuate,Stay,without
2,self,better,4,120,7,100,Stay,Evacuate,with
2,self,better,4,120,10,100,Evacuate,Evacuate,without
3,self,better,8,120,7,100,Evacuate,Stay,with
3,self,better,8,120,7,110,Evacuate,Stay,without
3,self,better,8,120,8,100,Evacuate,Evacuate,with
3,self,better,8,120,6,100,Evacuate,Evacuate,without
4,self,better,8,120,7,100,Evacuate,Stay,with
4,self,better,8,120,5,100,Evacuate,Stay,without
4,self,better,8,120,7,100,Evacuate,Evacuate,with
4,self,better,8,120,6,100,Evacuate,Evacuate,without
5,self,better,5,135,7,100,Stay,Stay,with
