n,perspective,condition,flood_1,wind_1,flood_2,wind_2,decision,forced_decision,prior
0,self,worse,12,120,16,140,Evacuate,Stay,with
0,self,worse,12,120,16,140,Evacuate,Stay,without
0,self,worse,12,120,16,140,Evacuate,Evacuate,with
0,self,worse,12,120,16,140,Evacuate,Evacuate,without
1,self,worse,12,120,16,140,Evacuate,Stay,with
1,self,worse,12,120,16,140,Evacuate,Stay,without
1,self,worse,12,120,16,140,Evacuate,Evacuate,with
1,self,worse,12,120,16,140,Evacuate,Evacuate,without
2,self,worse,12,120,16,140,Evacuate,Stay,with
2,self,worse,12,120,16,140,Evacuate,Stay,without
2,self,worse,12,120,16,140,Evacuate,Evacuate,with
2,self,worse,12,120,24,160,Evacuate,Evacuate,without
3,self,worse,12,120,16,140,Evacuate,Stay,with
3,self,worse,12,120,16,140,Evacuate,Stay,without
3,self,worse,12,120,16,140,Evacuate,Evacuate,with
3,self,worse,12,120,16,140,Evacuate,Evacuate,without
4,self,worse,12,120,16,140,Evacuate,Stay,with
4,self,worse,12,120,16,140,Evacuate,Stay,without
4,self,worse,12,120,16,140,Evacuate,Evacuate,with
4,self,worse,12,120,16,140,Evacuate,Evacuate,without
5,self,worse,12,120,16,140,Evacuate,Stay,with
5,self,worse,12,120,16,140,Evacuate,Stay,without
5,self,worse,12,120,16,140,Evacuate,Evacuate,with
5,self,worse,12,120,16,140,Evacuate,Evacuate,without
6,self,worse,12,120,16,140,Evacuate,Stay,with
6,self,worse,12,120,16,140,Evacuate,Stay,without
6,self,worse,12,120,16,140,Evacuate,Evacuate,with
6,self,worse,12,120,16,140,Evacuate,Evacuate,without
7,self,worse,12,120,16,140,Evacuate,Stay,with
7,self,worse,12,120,16,140,Evacuate,Stay,without
7,self,worse,12,120,16,140,Evacuate,Evacuate,with
7,self,worse,12,120,16,140,Evacuate,Evacuate,without
8,self,worse,12,120,16,140,Evacuate,Stay,with
8,self,worse,12,120,16,140,Evacuate,Stay,without
8,self,worse,12,120,16,140,Evacuate,Evacuate,with
8,self,worse,12,120,16,140,Evacuate,Evacuate,without
9,self,worse,12,120,16,140,Evacuate,Stay,with
9,self,worse,12,120,16,140,Evacuate,Stay,without
